cluster,genre,danceability,energy,valence,loudness,track_name,artist_name,popularity
3,Dance,0.81,0.649,0.59,-9.094,Pimp Juice,Nelly,50
2,Soundtrack,0.0969,0.227,0.0675,-15.471,"Theme - From ""Jurassic Park""",John Williams,36
1,Rock,0.581,0.4,0.433,-8.739,No Woman,Whitney,63
3,Pop,0.727,0.526,0.681,-6.307,My Only One (No Hay Nadie Más),Sebastian Yatra,68
4,Hip-Hop,0.577,0.557,0.177,-6.894,You Said (feat. Quavo),Young Thug,59
3,Folk,0.563,0.725,0.677,-6.366,The Death of Me,City and Colour,39
1,Soul,0.511,0.402,0.503,-10.695,Me And Those Dreamin' Eyes Of Mine,D'Angelo,48
3,Children's Music,0.967,0.366,0.964,-12.628,Fiddle Dee Dee,Juice Music,0
3,Blues,0.744,0.349,0.734,-9.234,"Bright Lights, Big City",Jimmy Reed,27
2,Soundtrack,0.0623,0.021,0.0339,-29.708,Garden Scene,Randy Edelman,20
3,Electronic,0.678,0.715,0.902,-7.656,Simple Science - Radio Edit,Zero 7,25
3,Comedy,0.606,0.814,0.84,-6.94,Mixer at Delta Chi,Stephen Lynch,30
1,Jazz,0.767,0.371,0.598,-14.36,So Far So Good,Benny Sings,35
0,Pop,0.579,0.559,0.328,-7.338,Real Peach,Henry Jamison,69
3,Jazz,0.621,0.816,0.72,-5.007,Ready Now,The Cat Empire,48
1,Folk,0.656,0.324,0.11,-12.341,Everything Apart,Foxwarren,53
3,Soul,0.815,0.81,0.612,-5.842,Over My Shoulder,Two Another,55
1,World,0.509,0.276,0.138,-10.406,"Psalm 23 (Surely Goodness, Surely Mercy)",Shane & Shane,51
1,Movie,0.642,0.27,0.795,-12.059,"I'm No Fool (As a Pedestrian) / Stop, Look and Listen",Cliff Edwards,1
1,Children’s Music,0.838,0.304,0.221,-9.975,Untitled (How Does It Feel),D'Angelo,60
4,Indie,0.453,0.717,0.393,-7.724,Pulaski,Andrew Bird,45
3,Reggae,0.707,0.536,0.966,-9.459,Starvation,The Pioneers,33
1,Soul,0.435,0.398,0.289,-8.77,Hands,Brandt Orange,47
4,Pop,0.589,0.658,0.251,-5.288,All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,72
1,Soundtrack,0.635,0.256,0.249,-14.187,The Path (A New Beginning),Gustavo Santaolalla,51
0,Rap,0.749,0.641,0.409,-5.268,Jackie Chan,Preme,66
3,Soul,0.875,0.483,0.443,-9.275,Easy Way Out,LEISURE,52
3,Children's Music,0.529,0.538,0.797,-11.549,The Alphabet Song,The Countdown Kids,0
1,Movie,0.473,0.476,0.317,-8.038,"Gimme, Gimme (Live)",Susan Egan,13
2,Indie,0.225,0.151,0.0517,-16.13,First Rain,Teen Daze,50
1,Electronic,0.687,0.63,0.108,-9.82,Sunday (B-Sides),Moby,25
0,World,0.368,0.463,0.0475,-9.916,Higher + Wider + Deeper,Citipointe Live,36
1,World,0.61,0.244,0.54,-16.337,Nataraja,Jai Uttal,29
3,Soul,0.68,0.909,0.809,-4.74,What You Want,THEY.,42
0,Blues,0.435,0.33,0.867,-15.266,Strange Feeling,Billy Stewart,28
1,World,0.276,0.249,0.158,-8.751,Sails,Pat Barrett,52
0,Soul,0.779,0.74,0.458,-9.084,...Girl,Mura Masa,45
1,Indie,0.603,0.337,0.164,-10.325,Wildest Ones,Eves Karydas,61
3,Movie,0.576,0.814,0.802,-7.64,Polichinelle,Chantal Goya,21
4,Alternative,0.565,0.922,0.393,-4.936,Meet the Monster,Five Finger Death Punch,42
3,Rap,0.728,0.62,0.885,-7.533,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,64
1,Hip-Hop,0.653,0.581,0.116,-10.909,Rocks,BONES,51
3,Soul,0.61,0.752,0.832,-5.062,Flow with It (You Got Me Feeling Like),St. Paul & The Broken Bones,59
1,Children’s Music,0.641,0.531,0.194,-7.243,Seven,Rainbow Kitten Surprise,61
1,Comedy,0.406,0.391,0.66,-14.742,Frogs And Bears,Mitch Hedberg,31
4,Rock,0.591,0.797,0.351,-4.675,Promise Me,Badflower,54
3,World,0.655,0.664,0.679,-9.094,Talva Lumi,Cantoma,37
2,Opera,0.247,0.138,0.0393,-18.226,"Lucia di Lammermoor / Act 1: ""Regnava nel silenzio""",Gaetano Donizetti,11
4,Classical,0.237,0.871,0.293,-4.382,The Scarecrow,Avantasia,45
3,Ska,0.537,0.921,0.973,-2.977,Dopeman,Less Than Jake,35
4,Alternative,0.557,0.886,0.17,-4.196,Bad Company,Five Finger Death Punch,66
3,Folk,0.692,0.9,0.931,-4.273,Do I Have to Talk You Into It,Spoon,53
3,Folk,0.677,0.748,0.746,-12.328,"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,48
0,Blues,0.344,0.725,0.706,-5.368,Just 'Cos You Can Don't Mean You Should,Joe Bonamassa,37
4,Country,0.471,0.791,0.355,-4.817,Neon Church,Tim McGraw,59
1,Indie,0.579,0.38,0.338,-7.403,Call It a Night,Wild Rivers,54
2,World,0.248,0.0527,0.102,-22.65,Beyond Time,Dean Evenson,26
1,World,0.39,0.118,0.235,-15.537,Dream,Park Hyo Shin,28
3,Dance,0.709,0.68,0.818,-7.954,Since We're Alone,Niall Horan,57
2,World,0.227,0.293,0.0337,-18.071,#24,Aphex Twin,28
3,Pop,0.663,0.715,0.607,-4.536,Choose,Why Don't We,64
1,Rap,0.667,0.423,0.156,-7.146,FML,Kanye West,70
3,Blues,0.699,0.502,0.687,-6.976,Please Don't Judge Me,Bigg Robb,28
3,Reggae,0.538,0.655,0.693,-7.377,Affairs Of The Heart,Damian Marley,47
0,Rock,0.577,0.419,0.855,-11.945,Sweet Revenge,John Prine,53
2,Classical,0.2,0.194,0.0634,-18.541,"Requiem in D Minor, K. 626: 1. Introitus: Requiem - Live",Wolfgang Amadeus Mozart,41
2,Movie,0.0828,0.196,0.0805,-17.521,One More Hour - Soundtrack Version,Randy Newman,14
1,Folk,0.48,0.125,0.233,-14.061,Colour Me In,Damien Rice,43
3,Alternative,0.608,0.791,0.722,-5.441,Los Angeles,X,44
0,Rap,0.77,0.853,0.615,-3.849,Stick Out,Pouya,63
1,World,0.378,0.431,0.077,-9.339,So Will I,UPPERROOM,37
2,Soundtrack,0.152,0.101,0.033,-25.083,Iris: Pt. 2 - Instrumental,James Horner,28
0,Ska,0.247,0.727,0.444,-5.269,Animal,Against Me!,31
3,Blues,0.479,0.569,0.886,-12.203,Mona,Bo Diddley,30
0,Blues,0.503,0.657,0.749,-9.002,Never Been Rocked Enough,Delbert McClinton,22
0,Soul,0.576,0.769,0.707,-4.276,Reaper,Manwolves,41
1,World,0.284,0.262,0.153,-9.238,Amazed,Desperation Band,35
4,Electronic,0.715,0.64,0.4,-7.168,Huarache Lights,Hot Chip,52
4,Anime,0.537,0.91,0.135,-4.455,覚醒,Superfly,46
4,Pop,0.674,0.87,0.26,-4.688,Tonight (I'm Fuckin' You),Enrique Iglesias,60
4,World,0.439,0.72,0.39,-4.619,Glorious Day (Living He Loved Me) - Live,Casting Crowns,27
1,Children’s Music,0.473,0.309,0.37,-10.364,Ruby,Dave Rawlings Machine,55
4,Alternative,0.374,0.697,0.493,-6.758,Go Outside,Cults,49
4,Rock,0.514,0.864,0.471,-3.246,Can’t Hide Red,Florida Georgia Line,67
3,Jazz,0.665,0.645,0.693,-7.959,Love Is All (feat. Kim Waters),Chuck Loeb,29
2,World,0.223,0.386,0.176,-9.44,"More, Holy Spirit - Live",Covenant Worship,30
0,Comedy,0.447,0.963,0.134,-4.065,"Clean It off, B---",Jim Norton,22
1,World,0.3,0.365,0.125,-8.368,Psalm 45 (Live),Shane & Shane,50
